,lengthOfEmailId,noOfDotsInEmailId,noOfDashesInEmailId,noOfSpecialCharsInEmailId,noOfDigitsInEmailId,noOfSubdomainsInEmailId,noOfUrls,noOfDotsInUrls,noOfDashesInUrls,noOfSpecialCharsInUrls,hasIpAddressInUrls,noOfIpAddressInUrls,noOfHttpsLinks,no_of_attachments,class_label,noOfMaliciousWords
1918,19,0,1,0,0,0,21,64,3,59,0,0,0,0,1,103
1919,19,0,1,0,0,0,21,64,3,59,0,0,0,0,1,103
1920,27,0,1,0,0,0,13,41,0,21,0,0,11,0,1,69
1921,19,0,1,0,0,0,6,17,2,8,0,0,0,0,1,60
1922,18,0,0,0,0,0,2,7,3,3,0,0,1,0,1,79
1923,24,0,1,0,0,0,3,10,0,9,1,1,0,0,1,56
1924,18,0,0,0,0,0,6,14,1,14,0,0,2,0,1,61
1925,18,0,0,0,0,0,6,14,1,14,0,0,2,0,1,61
1926,40,2,0,0,7,0,2,10,0,2,0,0,0,0,1,53
1927,27,0,1,0,0,0,4,21,0,8,0,0,1,0,1,61
1928,16,0,0,0,0,0,21,70,6,98,1,1,0,0,1,113
1929,18,0,0,0,0,0,1,3,1,4,0,0,0,0,1,28
1930,15,0,0,0,0,0,9,20,2,17,0,0,0,0,1,81
1931,18,0,0,0,0,0,1,3,1,4,0,0,0,0,1,28
1932,21,0,0,0,0,0,3,7,0,4,0,0,0,0,1,25
1933,23,0,0,0,0,0,3,7,0,4,0,0,0,0,1,24
1934,19,0,1,0,0,0,21,65,3,59,0,0,0,0,1,101
1935,17,0,0,0,0,0,4,17,0,6,1,1,1,0,1,59
1936,16,0,0,0,0,0,20,57,8,74,0,0,0,0,1,109
1937,16,0,0,0,0,0,20,57,8,74,0,0,0,0,1,109
1938,31,0,1,0,0,0,4,21,0,8,0,0,1,0,1,61
1939,19,0,1,0,0,0,21,64,3,59,0,0,0,0,1,101
1940,16,0,1,0,0,0,21,72,10,102,0,0,0,0,1,122
1941,16,0,0,0,0,0,21,69,6,105,0,0,0,0,1,113
1942,15,0,0,0,0,0,10,22,0,17,0,0,0,0,1,93
1943,33,0,0,0,5,1,2,6,3,3,0,0,1,0,1,71
1944,18,0,0,0,0,0,13,39,1,46,1,1,1,0,1,93
1945,38,2,0,0,13,0,2,10,0,2,0,0,0,0,1,55
1946,17,0,0,0,0,0,8,27,1,10,0,0,0,0,1,14
1947,31,0,1,0,0,0,4,21,0,8,0,0,1,0,1,61
1948,20,1,0,0,0,0,21,74,10,101,1,1,0,0,1,122
1949,13,0,0,0,0,0,11,27,0,23,0,0,0,0,1,29
1950,18,0,0,0,0,0,2,8,5,5,1,1,1,0,1,79
1951,26,0,0,0,0,0,6,24,1,12,1,1,0,0,1,42
1952,38,2,0,0,9,0,2,10,0,2,0,0,0,0,1,58
1953,17,0,0,0,0,0,12,40,11,24,1,1,0,0,1,78
1954,36,0,0,1,6,0,2,8,2,2,0,0,0,0,1,51
1955,18,0,1,0,0,0,21,75,10,101,1,1,0,0,1,122
1956,18,0,0,0,0,0,1,3,1,4,0,0,0,0,1,28
1957,52,2,0,0,8,0,2,6,2,2,0,0,0,0,1,57
1958,16,0,0,0,0,0,21,65,6,98,1,1,0,0,1,113
1959,43,2,0,0,11,0,2,10,0,2,0,0,0,0,1,57
1960,18,0,0,0,0,0,21,64,3,72,1,1,16,0,1,109
1961,31,0,0,0,0,0,1,4,0,2,1,1,0,0,1,72
1962,16,0,0,0,0,0,21,65,6,97,1,1,0,0,1,113
1963,24,0,0,0,0,0,4,18,2,6,0,0,2,0,1,41
1964,18,0,0,0,0,0,2,7,2,6,1,1,1,0,1,53
1965,15,0,0,0,0,0,7,22,1,16,1,1,1,0,1,57
1966,47,2,0,0,14,0,2,6,2,2,0,0,0,0,1,61
1967,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
